id,Titel,Voornaam,Patroniem en tussenvoegsel,Achternaam,geslacht,Geportretteerd op,Geportretteerd op genormaliseerd,regent / kerkmeester,regent / kerkmeester genormaliseerd,lid/officier schutterij (vaandrigs vanaf 1650),lid/officier schutterij (vaandrigs vanaf 1650) genormaliseerd,functie in stadsregering,functie in stadsregering genormaliseerd,Elias,Dudok van Heel,Doop/geboren,Doop/geboren genormaliseerd,Doop/geboren te,DTB dopen,Begraven/overleden,Begraven/overleden genormaliseerd,Begraven/overleden te,DTB begraven,Getrouwd met,Getrouwd met genormaliseerd,Ondertrouw (+ leeftijd),Ondertrouw (+ leeftijd) genormaliseerd,DTB ondertrouw,Adres,Denominatie,Beroep,kohier 1585,kohier 1631,kohier 1674,Kohier 1742,Archief Hart,Associatie,Opmerkingen,Wikidata
1,,Jan,,Benningh Gerritsz,M,1525 ca. - B. 1 - NN,B. 1,1525-26 km. O.K.,km. O.K. 1525-01-01|1525-12-31/1526-01-01|1526-12-31,,,1531 Sch.,Sch. 1531-01-01|1531-12-31/1531-01-01|1531-12-31,,"2018, p. 62-63",1495/1500,1495-01-01/1500-12-31,,,1557,1557-01-01/1557-12-31,,,Griet Stansdr,Griet Stansdr (?),,,,t.o. N.K. 1543,,,,,,,,,"SAA 5015, nr. 40 (stamboom)",Q112644942
2,,Jacob,,Heyn Fransz,M,1525 ca. - B. 1 - NN,B. 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,Wouter,van,Hoogesteyn,M,1525 ca. - B. 1 - NN,B. 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,Meyndert ,,Willemsz,M,1525 ca. - B. 1 - NN,B. 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,Dirck,,Jacobsz,M,1529 - S. 1 - D. Jacobsz?,S. 1,,,,,,,,,1488/97,1488-01-1/1497-12-31,,,1567,1567-01-01/1567-12-31,Amsterdam,,,,,,,,,schilder,,,,,,,,
6,,Pompejus,,Occo,M,1532 - S. 5 - D. Jacobsz?,S. 5,1513-18 km. H. Stede,km. Nz.K. 1513-01-01|1513-12-31/1518-01-01|1518-12-31,,,,,,,1483,1483-01-01/1483-12-31,,,1537,1537-01-01/1537-12-31,,,Gerberich Claesdr,Gerberich Claesdr (?),,,,"Kalverstraat, in ''t Paradijs'",,,,,,,,,,Q1976418
7,,Ant.,,Fontain,M,"1533 - S. 6 - NN (Colijns f. 44, nr. 8)",S. 6,,,,,,,_,,,,,,,,,,,,,,,,,,,,,,,,,
8,,Cornelis,,Anthonisz,M,1533 - S. 7 - C. Anthonisz?,S. 7,,,,,,,,,1505 ca.,1503-01-01/1507-12-31,Amsterdam,,1553,1553-01-01/1553-12-31,Amsterdam,,,,,,,,,schilder,,,,,,,,
9,,,,Braseman,M,"1535 - S. 9 - NN (Colijns f. 15, nr. 1)",S. 9,,, ,,,,"dl. 1, p. 29 ?",,,,,,nog in leven in 1546,1546-01-01/?,,,"Griet Dirck Jannendr, Lijsbeth Pietersdr ",Griet Dirck Jannendr (?); Lijsbeth Pietersdr (?),,,,,,,,,,,,,,
10,,Egbert,,Meindertsz,M,"1535 - S. 9 - NN (Colijns f. 15, nr. 2)",S. 9,,,,,,,_,,,,,,,,,,,,,,,,,,,,,,,,,
