,Titel,Voornaam,Patroniem en tussenvoegsel,Achternaam,geslacht,Geportretteerd op,Geportretteerd op genormaliseerd,Regentes,Regentes genormaliseerd,huisvrouw (hv) van / weduwe (w) van,huisvrouw (hv) van / weduwe (w) van genormaliseerd,Functie echtgenoot in Stadsregering,Elias,Doop/geboren,Doop/geboren genormaliseerd,Doop/geboren te,DTB dopen,Begraven/overleden,Begraven/overleden genormaliseerd,Begraven/overleden te,DTB begraven,Opmerkingen
0,,Sara,,Hinlopen,F,,,Amwh 1666-1687†,Amwh 1666-01-01|1666-12-31/1687-01-01|1687-12-31,"w. v. Hendrik Reael (1621-1656, x1646), kap. 1650","w. v. Hendrik Reael (1621-1656, x1646), kap. 1650",,"dl. 1, p. 261",1623,1623-01-01/1623-12-31,,,1687,1687-01-01/1687-12-31,,,
1,,Elisabeth,,Dommer,F,,,Amwh 1666-1697†,Amwh 1666-01-01|1666-12-31/1697-01-01|1697-12-31,"hv. v. Cornelis Barchman Wuytiers (1627-1681, x1649)","hv. v. Cornelis Barchman Wuytiers (1627-1681, x1649)",,"dl. 1, p. 109",1628,1628-01-01/1628-12-31,,,1696,1696-01-01/1696-12-31,,,
2,,Hillegonda,,Muylman,F,,,Amwh 1666-voor 1682,Amwh 1666-01-01|1666-12-31/?|1682-01-01,"hv. v. Pieter Barnoille / Pieter Barnouilli (1666-1691, x?) NZHh","hv. v. Pieter Barnoille / Pieter Barnouilli (1666-1691, x?) NZHh",,_,,,,,,,,,
3,,Geertruyt,,Schouten,F,,,Amwh 1669-,Amwh 1669-01-01|1669-12-31/?|?,hv. v. Jacob van Alderweerelt,"hv. v. Jacob van Alderweerelt (?-?, x?)",,_,,,,,,,,,
4,,Clara,van,Bueren,F,,,Amwh 1677-1704†,Amwh 1677-01-01|1677-12-31/1704-01-01|1704-12-31,"hv. v. Pieter van Alderwerelt / Pieter van Alderweert (?-?, x?)","hv. v. Pieter van Alderwerelt / Pieter van Alderweert (?-?, x?)",,_,,,,,,,,,
5,,Aletta Maria,,Coymans,F,,,Amwh 1682-1722,Amwh 1682-01-01|1682-12-31/1722-01-01|1722-12-31,"w. v. Carel Voet (1631-1679, x1661)","w. v. Carel Voet (1631-1679, x1661)",,"dl. 2, p. 765",1641,1641-01-01/1641-12-31,,,1687,1687-01-01/1687-12-31,,,
6,,Debora,van,Foreest,F,,,Amwh 1685-1689,Amwh 1685-01-01|1685-12-31/1689-01-01|1689-12-31,"w. v. Johan Hooft (?-1690, x?)","w. v. Johan Hooft (?-1690, x?)",,_,1630,1630-01-01/1630-12-31,,,1693,1693-01-01/1693-12-31,,,
7,,Lucretia,de,Hochepied,F,,,Amwh 1685-1709†,Amwh 1685-01-01|1685-12-31/1709-01-01|1709-12-31,"hv. v. Isaak Brayne (1608-?, x1659)","hv. v. Isaak Brayne (1608-?, x1659)",,_,1632 ca.,1630-01-01/1634-12-31,,,,,,,
8,,Constantia,,Blommaert / Bloemaert,F,,,Amwh 1688-1694,Amwh 1688-01-01|1688-12-31/1694-01-01|1694-12-31,"w. v. vice-adm. Isaac Sweers (1622-1673, x1655)","w. v. vice-adm. Isaac Sweers (1622-1673, x1655)",,"dl 2, p. 920",1626,1626-01-01/1626-12-31,,,1694,1694-01-01/1694-12-31,,,dochter van Samuel Blommaert
9,,Cornelia,,Gerard / Gerards,F,,,Amwh 1690-1715†,Amwh 1690-01-01|1690-12-31/1715-01-01|1715-12-31,"w. v. Nic. van Bambeeck (1639-1671, x1663)","w. v. Nic. van Bambeeck (1639-1671, x1663)",,"dl. 2, p. 649",1640-09-02,1640-09-02,,,1715-01-21,1715-01-21,,,
